HQ-PR-JSPR-01,10.23.108.36,MAGENTA,80,2015-05-21 12:01:00.787,HP LaserJet 400 color M451dn,CE413A,NoTag
HQ-PR-JSPR-01,10.23.108.36,BLACK,70,2015-05-21 12:01:00.667,HP LaserJet 400 color M451dn,CE410X,NoTag
HQ-PR-KLOE-01,10.23.105.14,BLACK,60,2015-05-21 12:00:43.410,HP LaserJet P2055dn,CE505X,25029
HQ-PR-LBOR-01,10.23.111.13,BLACK,-6,2015-05-21 12:01:02.000,HP LaserJet P2055dn,CE505A,25028
HQ-PR-LHAW-01,10.23.100.209,MAGENTA,95,2015-05-21 12:01:01.840,HP Color LaserJet CP2025dn,CC533A,25027
HQ-PR-LHAW-01,10.23.100.209,CYAN,93,2015-05-21 12:01:01.783,HP Color LaserJet CP2025dn,CC531A,25027
HQ-PR-LHAW-01,10.23.100.209,YELLOW,94,2015-05-21 12:01:01.883,HP Color LaserJet CP2025dn,CC532A,25027
HQ-PR-LHAW-01,10.23.100.209,BLACK,90,2015-05-21 12:01:01.740,HP Color LaserJet CP2025dn,CC530A,25027
HQ-PR-MKAP-01,10.23.100.195,BLACK,50,2015-05-21 12:00:41.230,HP LaserJet P2055dn,CE505A,Notag
HQ-PR-MKAW-01,10.23.108.30,BLACK,42,2015-05-21 12:00:44.653,HP LaserJet P2055dn,CE505X,21848
HQ-PR-MSCH-01,10.23.105.22,MAGENTA,40,2015-05-21 12:01:01.210,HP LaserJet 400 color M451dn,CE413A,NoTag
HQ-PR-MSCH-01,10.23.105.22,BLACK,100,2015-05-21 12:01:01.123,HP LaserJet 400 color M451dn,CE410X,NoTag
HQ-PR-MSCH-01,10.23.105.22,YELLOW,40,2015-05-21 12:01:01.250,HP LaserJet 400 color M451dn,CE412A,NoTag
HQ-PR-MSCH-01,10.23.105.22,CYAN,10,2015-05-21 12:01:01.170,HP LaserJet 400 color M451dn,CE411A,NoTag
HQ-PR-MWAS-01,10.23.100.166,BLACK,41,2015-05-21 12:00:30.403,HP LaserJet P2055dn,CE505X,25030
HQ-PR-OSPE-01,10.23.112.13,BLACK,20,2015-03-11 12:01:19.180,HP LaserJet P2055dn,CE505X,21856
HQ-PR-PTHO-01,10.23.100.202,BLACK,10,2015-05-21 10:37:42.597,HP LaserJet 400 M401dne,CF280A,
HQ-PR-SBOO-01,10.23.100.200,BLACK,95,2015-05-21 12:01:01.607,HP LaserJet P2055dn,CE505A,25034
HQ-PR-WESC-01,10.23.100.204,BLACK,56,2015-05-21 00:00:32.903,HP LaserJet P2055dn,CE505X,21795
NYSE-CKPR-01,10.23.100.139,BLACK,90,2015-05-21 12:00:42.163,HP LaserJet 400 M401n,CF280X,NoTag
